timestamp,value,date
2025-06-02 01:05:00,29.7,2025-06-02
2025-06-02 13:57:00,6.8,2025-06-02
2025-06-02 09:44:00,61.3,2025-06-02
2025-06-02 20:09:00,50.2,2025-06-02
2025-06-02 05:28:00,6.6,2025-06-02
2025-06-02 18:30:00,10.7,2025-06-02
2025-06-02 10:55:00,55.5,2025-06-02
2025-06-02 10:34:00,58.1,2025-06-02
2025-06-02 12:35:00,73.2,2025-06-02
2025-06-02 14:09:00,90.6,2025-06-02
2025-06-02 11:12:00,25.5,2025-06-02
2025-06-02 02:19:00,3.1,2025-06-02
2025-06-02 15:16:00,30.5,2025-06-02
2025-06-02 05:07:00,45.7,2025-06-02
2025-06-02 22:04:00,11.3,2025-06-02
2025-06-02 07:15:00,27.0,2025-06-02
2025-06-02 08:52:00,75.6,2025-06-02
2025-06-02 15:54:00,12.6,2025-06-02
2025-06-02 23:59:00,30.7,2025-06-02
2025-06-02 19:01:00,13.1,2025-06-02
2025-06-02 12:15:00,52.8,2025-06-02
2025-06-02 08:21:00,80.9,2025-06-02
2025-06-02 17:52:00,56.8,2025-06-02
2025-06-02 06:41:00,4.8,2025-06-02
2025-06-02 22:26:00,31.1,2025-06-02
2025-06-02 20:28:00,18.3,2025-06-02
2025-06-02 18:43:00,22.5,2025-06-02
2025-06-02 18:05:00,93.0,2025-06-02
2025-06-02 16:48:00,24.3,2025-06-02
2025-06-02 10:16:00,86.4,2025-06-02
2025-06-02 18:55:00,26.1,2025-06-02
2025-06-02 03:54:00,28.0,2025-06-02
2025-06-02 22:33:00,19.5,2025-06-02
2025-06-02 09:27:00,48.3,2025-06-02
2025-06-02 14:40:00,41.0,2025-06-02
2025-06-02 18:37:00,64.5,2025-06-02
2025-06-02 09:47:00,88.2,2025-06-02
2025-06-02 18:09:00,79.1,2025-06-02
2025-06-02 18:56:00,63.7,2025-06-02
2025-06-02 22:44:00,0.1,2025-06-02
2025-06-02 14:28:00,8.5,2025-06-02
2025-06-02 20:03:00,57.0,2025-06-02
2025-06-02 20:32:00,44.0,2025-06-02
2025-06-02 07:42:00,49.7,2025-06-02
2025-06-02 17:51:00,69.3,2025-06-02
2025-06-02 01:11:00,75.8,2025-06-02
2025-06-02 13:52:00,58.9,2025-06-02
2025-06-02 15:59:00,51.7,2025-06-02
2025-06-02 08:00:00,32.1,2025-06-02
2025-06-02 19:36:00,11.9,2025-06-02
2025-06-02 19:53:00,99.0,2025-06-02
2025-06-02 19:45:00,51.7,2025-06-02
2025-06-02 08:53:00,86.6,2025-06-02
2025-06-02 14:06:00,29.6,2025-06-02
2025-06-02 13:05:00,4.6,2025-06-02
2025-06-02 07:38:00,73.6,2025-06-02
2025-06-02 00:11:00,51.0,2025-06-02
2025-06-02 03:14:00,93.1,2025-06-02
2025-06-02 22:06:00,62.2,2025-06-02
2025-06-02 16:35:00,95.2,2025-06-02
2025-06-02 02:24:00,10.1,2025-06-02
2025-06-02 22:10:00,10.1,2025-06-02
2025-06-02 07:52:00,33.5,2025-06-02
2025-06-02 06:15:00,67.0,2025-06-02
2025-06-02 19:03:00,80.0,2025-06-02
2025-06-02 17:01:00,81.4,2025-06-02
2025-06-02 10:12:00,44.1,2025-06-02
2025-06-02 18:49:00,26.8,2025-06-02
2025-06-02 08:54:00,87.1,2025-06-02
2025-06-02 05:18:00,51.1,2025-06-02
2025-06-02 12:11:00,62.5,2025-06-02
2025-06-02 19:18:00,31.7,2025-06-02
2025-06-02 09:17:00,52.9,2025-06-02
