timestamp,value,date
2025-06-12 11:56:00,98.8,2025-06-12
2025-06-12 08:51:00,37.7,2025-06-12
2025-06-12 01:31:00,11.9,2025-06-12
2025-06-12 16:07:00,9.5,2025-06-12
2025-06-12 17:33:00,95.0,2025-06-12
2025-06-12 23:37:00,25.5,2025-06-12
2025-06-12 17:46:00,6.6,2025-06-12
2025-06-12 22:54:00,69.0,2025-06-12
2025-06-12 19:03:00,35.5,2025-06-12
2025-06-12 23:39:00,97.0,2025-06-12
2025-06-12 00:30:00,57.9,2025-06-12
2025-06-12 05:21:00,37.0,2025-06-12
2025-06-12 06:25:00,99.7,2025-06-12
2025-06-12 23:59:00,83.1,2025-06-12
2025-06-12 07:56:00,17.2,2025-06-12
2025-06-12 20:19:00,61.5,2025-06-12
2025-06-12 16:58:00,11.5,2025-06-12
2025-06-12 14:52:00,69.8,2025-06-12
2025-06-12 09:51:00,35.6,2025-06-12
2025-06-12 17:13:00,79.3,2025-06-12
2025-06-12 08:07:00,90.2,2025-06-12
2025-06-12 04:21:00,26.4,2025-06-12
2025-06-12 07:18:00,22.6,2025-06-12
2025-06-12 16:35:00,95.3,2025-06-12
2025-06-12 01:46:00,97.3,2025-06-12
2025-06-12 07:11:00,2.8,2025-06-12
2025-06-12 08:59:00,53.6,2025-06-12
2025-06-12 19:07:00,26.9,2025-06-12
2025-06-12 07:22:00,35.7,2025-06-12
2025-06-12 02:15:00,60.1,2025-06-12
2025-06-12 04:52:00,17.3,2025-06-12
2025-06-12 08:57:00,71.5,2025-06-12
2025-06-12 06:27:00,15.4,2025-06-12
2025-06-12 18:23:00,82.0,2025-06-12
2025-06-12 05:05:00,7.0,2025-06-12
2025-06-12 22:44:00,31.4,2025-06-12
2025-06-12 17:05:00,61.5,2025-06-12
2025-06-12 23:26:00,90.5,2025-06-12
2025-06-12 13:01:00,88.8,2025-06-12
2025-06-12 12:07:00,77.9,2025-06-12
2025-06-12 22:35:00,95.9,2025-06-12
2025-06-12 16:44:00,67.3,2025-06-12
2025-06-12 14:16:00,97.1,2025-06-12
2025-06-12 14:35:00,3.5,2025-06-12
2025-06-12 04:45:00,45.8,2025-06-12
2025-06-12 01:58:00,56.5,2025-06-12
2025-06-12 20:59:00,15.5,2025-06-12
2025-06-12 03:28:00,84.7,2025-06-12
2025-06-12 12:32:00,53.5,2025-06-12
2025-06-12 00:26:00,62.3,2025-06-12
2025-06-12 01:26:00,9.8,2025-06-12
2025-06-12 19:41:00,21.2,2025-06-12
2025-06-12 22:00:00,82.2,2025-06-12
2025-06-12 04:44:00,63.0,2025-06-12
2025-06-12 05:36:00,41.6,2025-06-12
2025-06-12 11:03:00,33.2,2025-06-12
2025-06-12 17:29:00,97.7,2025-06-12
2025-06-12 12:52:00,47.5,2025-06-12
2025-06-12 20:16:00,41.8,2025-06-12
2025-06-12 06:10:00,54.7,2025-06-12
2025-06-12 17:31:00,13.1,2025-06-12
2025-06-12 21:37:00,10.9,2025-06-12
2025-06-12 16:32:00,46.1,2025-06-12
2025-06-12 06:16:00,68.8,2025-06-12
2025-06-12 04:50:00,34.6,2025-06-12
2025-06-12 22:13:00,86.4,2025-06-12
2025-06-12 02:36:00,70.3,2025-06-12
2025-06-12 08:00:00,30.4,2025-06-12
2025-06-12 13:41:00,8.7,2025-06-12
2025-06-12 19:54:00,63.5,2025-06-12
2025-06-12 08:06:00,57.9,2025-06-12
2025-06-12 04:35:00,15.7,2025-06-12
2025-06-12 17:07:00,13.3,2025-06-12
2025-06-12 09:49:00,2.7,2025-06-12
2025-06-12 05:08:00,58.3,2025-06-12
2025-06-12 18:26:00,11.8,2025-06-12
2025-06-12 08:46:00,97.1,2025-06-12
2025-06-12 16:16:00,38.5,2025-06-12
2025-06-12 18:09:00,50.6,2025-06-12
2025-06-12 09:41:00,37.3,2025-06-12
2025-06-12 21:19:00,9.3,2025-06-12
2025-06-12 15:42:00,2.9,2025-06-12
2025-06-12 04:18:00,4.4,2025-06-12
2025-06-12 23:41:00,17.2,2025-06-12
2025-06-12 00:32:00,36.8,2025-06-12
2025-06-12 11:14:00,6.7,2025-06-12
2025-06-12 16:01:00,57.0,2025-06-12
2025-06-12 08:43:00,10.5,2025-06-12
2025-06-12 01:04:00,0.9,2025-06-12
2025-06-12 13:09:00,12.4,2025-06-12
2025-06-12 00:51:00,14.9,2025-06-12
2025-06-12 03:01:00,61.2,2025-06-12
2025-06-12 13:26:00,52.0,2025-06-12
2025-06-12 19:04:00,15.3,2025-06-12
2025-06-12 18:46:00,45.0,2025-06-12
2025-06-12 05:13:00,51.4,2025-06-12
2025-06-12 23:58:00,50.8,2025-06-12
2025-06-12 17:57:00,77.4,2025-06-12
2025-06-12 16:09:00,14.2,2025-06-12
2025-06-12 13:15:00,81.5,2025-06-12
2025-06-12 11:06:00,77.6,2025-06-12
2025-06-12 22:25:00,88.5,2025-06-12
2025-06-12 11:13:00,47.7,2025-06-12
2025-06-12 18:11:00,18.0,2025-06-12
2025-06-12 23:22:00,88.3,2025-06-12
2025-06-12 00:18:00,98.4,2025-06-12
2025-06-12 12:44:00,83.8,2025-06-12
2025-06-12 10:13:00,20.3,2025-06-12
2025-06-12 17:06:00,25.0,2025-06-12
2025-06-12 21:29:00,40.4,2025-06-12
2025-06-12 04:05:00,3.9,2025-06-12
2025-06-12 21:15:00,81.5,2025-06-12
2025-06-12 07:21:00,61.3,2025-06-12
2025-06-12 11:42:00,98.6,2025-06-12
2025-06-12 02:38:00,57.8,2025-06-12
2025-06-12 18:45:00,18.7,2025-06-12
2025-06-12 03:56:00,49.4,2025-06-12
2025-06-12 23:25:00,99.4,2025-06-12
2025-06-12 03:44:00,28.4,2025-06-12
2025-06-12 02:52:00,7.1,2025-06-12
2025-06-12 05:38:00,82.4,2025-06-12
2025-06-12 08:35:00,31.8,2025-06-12
2025-06-12 20:10:00,94.0,2025-06-12
2025-06-12 04:17:00,19.5,2025-06-12
2025-06-12 11:51:00,85.1,2025-06-12
2025-06-12 07:27:00,11.6,2025-06-12
2025-06-12 13:53:00,24.4,2025-06-12
2025-06-12 17:00:00,11.2,2025-06-12
2025-06-12 18:12:00,16.8,2025-06-12
2025-06-12 01:57:00,75.0,2025-06-12
2025-06-12 15:15:00,42.0,2025-06-12
2025-06-12 04:19:00,65.1,2025-06-12
2025-06-12 10:41:00,70.2,2025-06-12
2025-06-12 18:50:00,11.6,2025-06-12
2025-06-12 11:09:00,72.9,2025-06-12
2025-06-12 21:56:00,57.3,2025-06-12
2025-06-12 15:33:00,91.5,2025-06-12
2025-06-12 01:54:00,97.5,2025-06-12
2025-06-12 13:56:00,31.3,2025-06-12
2025-06-12 05:00:00,43.4,2025-06-12
2025-06-12 08:32:00,89.6,2025-06-12
2025-06-12 08:01:00,65.5,2025-06-12
2025-06-12 23:53:00,97.9,2025-06-12
2025-06-12 20:38:00,18.7,2025-06-12
2025-06-12 16:25:00,99.0,2025-06-12
2025-06-12 17:20:00,80.7,2025-06-12
2025-06-12 14:20:00,47.1,2025-06-12
2025-06-12 16:55:00,59.4,2025-06-12
2025-06-12 01:28:00,92.3,2025-06-12
2025-06-12 11:34:00,63.5,2025-06-12
2025-06-12 07:26:00,92.9,2025-06-12
2025-06-12 12:53:00,53.9,2025-06-12
2025-06-12 15:58:00,77.5,2025-06-12
2025-06-12 05:06:00,56.3,2025-06-12
2025-06-12 14:19:00,25.4,2025-06-12
2025-06-12 16:49:00,30.7,2025-06-12
2025-06-12 20:23:00,61.7,2025-06-12
2025-06-12 08:44:00,85.5,2025-06-12
2025-06-12 22:43:00,67.9,2025-06-12
2025-06-12 02:39:00,92.7,2025-06-12
2025-06-12 15:11:00,61.8,2025-06-12
2025-06-12 18:43:00,44.4,2025-06-12
2025-06-12 12:36:00,63.7,2025-06-12
2025-06-12 01:59:00,72.5,2025-06-12
2025-06-12 01:39:00,25.7,2025-06-12
2025-06-12 07:06:00,71.8,2025-06-12
2025-06-12 12:42:00,60.3,2025-06-12
2025-06-12 10:07:00,40.8,2025-06-12
2025-06-12 13:35:00,73.0,2025-06-12
2025-06-12 04:47:00,82.1,2025-06-12
2025-06-12 11:39:00,16.7,2025-06-12
2025-06-12 05:25:00,89.0,2025-06-12
2025-06-12 07:16:00,22.6,2025-06-12
2025-06-12 20:47:00,37.8,2025-06-12
2025-06-12 21:38:00,46.9,2025-06-12
2025-06-12 08:34:00,36.0,2025-06-12
2025-06-12 10:10:00,77.3,2025-06-12
2025-06-12 18:44:00,52.7,2025-06-12
